date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:21	49013/49013	---MC-	200	added ('OK')	text/html	date:Wed,%2002%20Mar%202022%2013:05:22%20GMT	https://www.plataformapascal.com/NV/login/index.php	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/login/index.html	(from )
08:05:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Mar%202022%2013:05:23%20GMT	https://www.plataformapascal.com/robots.txt		(from )
08:05:22	3633/3633	---MCZ	200	added ('OK')	text/css	etag:%22b9bc567c469e2872cf3bbb14603342a72de2509b%22	https://www.plataformapascal.com/NV/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple-min.css	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/combo77f0	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:23	282944/282944	---MCZ	200	added ('OK')	application/javascript	etag:%2278581a0bac8a932effb32db3e91e0f2f2b47c08e%22	https://www.plataformapascal.com/NV/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple-min.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/combo245a	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:23	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:%229344b26fc64da484efb5f93d79e82a9065c8b7ec%22	https://www.plataformapascal.com/NV/theme/jquery.php/core/jquery-3.2.1.min.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/jquery.php/core/jquery-3.2.1.min.js	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:23	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:%2236547860832c740efea0b5f97185828cbc865d4d%22	https://www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/jquery.easing.min.1.4.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/jquery.easing.min.1.4.js	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:23	1042/1042	---MCZ	200	added ('OK')	application/javascript	etag:%22a605045ebc4134f52f8eb03f240a036dfedd1407%22	https://www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/scripts.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/scripts.js	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:23	42002/42002	---MCZ	200	added ('OK')	application/javascript	etag:%22694e7d9a7f033a5d6fea2c5188b2722a06de3a7b%22	https://www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/camera.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/camera.js	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:24	19167/19167	---MCZ	200	added ('OK')	application/javascript	etag:%22ff533d8d107599a4c0392bbc8a8c2e482f56a420%22	https://www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/bxslider.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/theme/jquery.php/theme_lambda/bxslider.js	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:24	277/277	---M--	302	error ('Found')	text/html	date:Wed,%2002%20Mar%202022%2013:05:25%20GMT	http://www.plataformapascal.com/NV/pluginfile.php/1/theme_lambda/logo/1610135029/logoNV3.png	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/pluginfile.php/1/theme_lambda/logo/1610135029/logoNV3.9.delayed	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:24	21366/21366	---MCZ	200	added ('OK')	application/javascript	etag:%22b4b42ba26de0a19ce03559b21ca512ec5e941245%22	https://www.plataformapascal.com/NV/lib/javascript.php/1610057684/lib/javascript-static.js	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/lib/javascript.php/1610057684/lib/javascript.php	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:25	8898/8898	---M--	200	added ('OK')	image/png	etag:%2231ae8a7dc097e25ca72c9adb449218bee07af078%22	https://www.plataformapascal.com/NV/pluginfile.php/1/theme_lambda/logo/1610135029/logoNV3.png	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/pluginfile.php/1/theme_lambda/logo/1610135029/logoNV3.png	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:26	49013/49013	---MC-	200	added ('OK')	text/html	date:Wed,%2002%20Mar%202022%2013:05:26%20GMT	https://www.plataformapascal.com/NV/login/index.php?lang=en	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/login/index9ed2.html	(from https://www.plataformapascal.com/NV/login/index.php)
08:05:26	47319/47319	---MC-	200	added ('OK')	text/html	date:Wed,%2002%20Mar%202022%2013:05:27%20GMT	https://www.plataformapascal.com/NV/login/index.php?lang=es_co	D:/Users/Diego/Desktop/Programacion/Xploits/Pascal/Plataforma%20parcal/www.plataformapascal.com/NV/login/index0184.html	(from https://www.plataformapascal.com/NV/login/index.php)
